shortcode,description
010106, 010106. Pulmonary atresia + VSD (including Fallot type)
010107, 010107. Pulmonary atresia + intact ventricular septum
010125, 010125. Pulmonary atresia + VSD + systemic-to-pulmonary collateral artery(ies) (MAPCA(s))
010126,010126.Tetralogy of Fallot with pulmonary atresia.
010157,010157.Tetralogy of Fallot with pulmonary atresia and systemic-to-pulmonary collateral artery(ies) (MAPCA(s)).
090908,090908. Pulmonary artery from ascending aorta (hemitruncus)
